menu,preparation
Ndolé et plantains,"
INGRÉDIENTS :
- 500g de Ndole 
- 0,5kg de viande de bœuf (ou viande de votre choix), coupés en morceaux
- 4 gros oignons,
- 400g d’arachides, épluchées
- 250g d’écrevisses séchées
- 1/2 kg de gambas 
 - 1kg de crevettes 
- 2 gousses d’ail,
- 200ml d’huile de palme
- sel

Préparation:

	Conseils: même si vous avez acheté les boules de Ndolé déjà lavé, je vous recommande de suivre cette astuce.
	Faites bouillir les feuilles dans une grande marmite remplie d’eau avec un peu de sel gemme.
	Après ébullition, retirer les feuilles à l’aide d’une passoire, verser et changer l’eau.
	Étape 1: faire bouillir ses arachides et les mettre dans une assiette, avec 2 oignons, ses gousses d’ail, et écrevisses. Les faire écraser 
	Étape 3: faites chauffer votre huile de palme, Suez vos oignons, ensuite rajoutez votre viande, salez là, laissez mijoter sans ajouter de l’eau pour faire ressortir le jus de votre viande.
	Étape 4: Ensuite verser vos arachides écrasées dans la viande cuite avec son jus, mijotez pendant 30min au moins. verser le Ndole dans les arachides, et laisser cuire pendant 20 min au moins Tourner de temps en temps pour éviter que ça colle au fond de la marmite. 
	Étape 5: mettre son huile au feu et laisser chauffer, découper ses oignons et les verser dans de l’huile chaude avec vos gambas et crevettes, préalablement cuites, laissez légèrement cuire et verser finalement le melange sur son Ndole. 
	Servir avec un accompagnement de votre Choix .
  	Manger c'est bien mais se nourrir c'est encore mieux"
Achu soup,"

	Ingrédients
  
   * 200 l l'huile de palme
   * 1 c. a soupe d'épice composé special sauce jaune
   * 1 verre d'eau
   * 300 ml de jus de viande
   * 2 Piments optionnelles
   * 1 kg de viande de chevre choisie ta viande preféré
   * 1 kg Peau de boeuf optionelle
   * sel
   * Poisson fumé optionelle
   * aubergine africaine optionelle
   * 2 litre d'eau environ
   * 1 c. a soupe de sel gemme en poudre
   * 
    Instructions
 

   1 Cuire la viande. Dans une marmite, ajouter les viandes que vous avez préféré utiliser, recouvrir d'eau puis salez et poivrez à votre convenance. Surveiller la cuisson de la viande régulièrement pour éviter que l'eau ne sèche complétement lors de la cuisson. N'hésitez pas donc a rajouter de l'eau si nécessaire.
   2 Dans un verre d'eau, ajouter les épices du taro et réserver
   3 À mi-cuisson de la viande, lancer vos piments entiers dans la marmite. 
   4 Quand la viande est cuite, séparer la viande de son jus et réserver son eau de cuisson
   5 Dans une poêle, faire chauffer légèrement votre huile de palme pendant environ 5 minutes
   6 Retirer du feu et laisser refroidir l'huile quelques instants
   7 Dans un autre récipient, mélanger le jus de cuisson de votre viande et le sel gemme en poudre . Remuer, le sel gemme doit être dilué complètement.
   8 Dans un marmite creuse, mélanger l'huile rouge et le jus de viande(le précedent melange consituer de sel gemme dilué). Utiliser un mixeur pour bien mélanger l'eau et l'huile. Mixer pendant minimum 2 minutes, jusqu'à ce que la mousse commence a être produite. La sauce deviendra jaune au fur et à mesure.
   9 Rajouter ensuite le verre d'eau contenant les épices de la sauce precedement diluer, et continuer a bien mélanger toujours avec le mixeur. 
   10 Ajuster l'assaisonnement en ajoutant le sel. Vous pouvez soit verser toute votre viande dans la sauce, ou juste la disposer de coter dans votre assiette lors de la dégustation. Servir à accompagner du taro"
Poulet DG,"
Ingrédients 

	* 1 poulet entier
	* 200 grammes d'haricots verts
	* 3 carotte
	* 2 poivrons
	* 2 gousses d'ail
	* 3 bananes plantain jaunes
	* 1 boîte de tomate ( pelées )
	* Laurier
	* 1 c.à s. de persil ( haché )
	* 1 c.à.c de gingembre en poudre
	* 1 cube de bouillon de poulet
	* 1 verre d'eau
	* 2 c.à s. d'huile d'olive
	* Sel et poivre.

Étape 1/3
	Coupez le poulet en plus ou moins 4 parts, si il est en entier et le nettoyer avec du citron. Mettez l’huile dans une marmite et faites frire les morceaux de poulet.

Étape 2/3
	Pendant ce temps épluchez et coupez en fines lamelles les oignons et les poivrons. Une fois les morceaux de poulet bien doré, les retirer et réservez. Faites rissoler les oignons avec l’ail écrasé (environ 3 minutes) et lorsqu’ils deviennent translucides ajouter la boîte de tomates pelées. Laissez mijoter 5 minutes. Ajoutez les haricots verts, les poivrons et les carottes. Ajoutez le gingembre, le piment en poudre, le bouillon et les feuilles de laurier. Saler et poivrer.

Étape 3/3
	Ajoutez le poulet, le verre d’eau et laisser mijoter environ 30 minutes. Faites frire les bananes plantain et les ajouter dans les 10 dernières minutes de cuisson. C'est un plat complet donc il se mange comme cela. Bon appétit les gourmands."
Taro sauce jaune,"
Ingrédients
  
    * 200 l l'huile de palme
    * 1 c. a soupe d'épice composé special sauce jaune
    * 1 verre d'eau
    * 300 ml de jus de viande
    * 2 Piments optionnelles
    * 1 kg de viande de chevre choisie ta viande preféré
    * 1 kg Peau de boeuf optionelle
    * sel
    * Poisson fumé optionelle
    * aubergine africaine optionelle
    * 2 litre d'eau environ
    * 1 c. a soupe de sel gemme en poudre
    
    Instructions
 

   1 Cuire la viande. Dans une marmite, ajouter les viandes que vous avez préféré utiliser, recouvrir d'eau puis salez et poivrez à votre convenance. Surveiller la cuisson de la viande régulièrement pour éviter que l'eau ne sèche complétement lors de la cuisson. N'hésitez pas donc a rajouter de l'eau si nécessaire.
   2 Dans un verre d'eau, ajouter les épices du taro et réserver
   3 À mi-cuisson de la viande, lancer vos piments entiers dans la marmite. 
   4 Quand la viande est cuite, séparer la viande de son jus et réserver son eau de cuisson
   5 Dans une poêle, faire chauffer légèrement votre huile de palme pendant environ 5 minutes
   6 Retirer du feu et laisser refroidir l'huile quelques instants
   7 Dans un autre récipient, mélanger le jus de cuisson de votre viande et le sel gemme en poudre . Remuer, le sel gemme doit être dilué complètement.
   8 Dans un marmite creuse, mélanger l'huile rouge et le jus de viande(le précedent melange consituer de sel gemme dilué). Utiliser un mixeur pour bien mélanger l'eau et l'huile. Mixer pendant minimum 2 minutes, jusqu'à ce que la mousse commence a être produite. La sauce deviendra jaune au fur et à mesure.
   9 Rajouter ensuite le verre d'eau contenant les épices de la sauce precedement diluer, et continuer a bien mélanger toujours avec le mixeur. 
   10 Ajuster l'assaisonnement en ajoutant le sel. Vous pouvez soit verser toute votre viande dans la sauce, ou juste la disposer de coter dans votre assiette lors de la dégustation. Servir à accompagner du taro"
Eru et waterfufu,"
INGREDIENTS :
	1 paquet de feuilles de Eru ou 3 tasses de feuilles de Eru (ou Okok)
	750 g de feuilles d’épinards ou 3 tasses de feuilles de water leaf
	1 tasse de Mandjanga ou écrevisses
	Poissons fumés (brochettes, bifagas ou morue)
	Peau de bœuf(deja cuite)
	1 kg de viande de bœuf
	1/4 litre d’huile de palme
	Sel
	Cube
	Piment (facultatif)
	200 ml d’eau: utiliser le jus de cuisson de la viande et du poisson de préférence.
	Préparation 30 minutes
	Cuisson 1 heure 15 minutes
	Temps total 1 heure 45 minutes
PRÉPARATION 
	Etape 1 : Lavez et découpez tous vos légumes (Eru)
	Etape 2 : Après avoir découpé et lavé la peau de bœuf, faites la bouillir pendant 30 minutes ensuite ajouter la viande et peau de boeuf préalablement nettoyée et découpée. N’oubliez pas d’y ajouter pincée du sel 
	Etape 3 : Laissez bouillir pendant 10 minutes jusqu’à obtention du jus de viande. Vous pouvez y ajouter du piment. Ajoutez au milieu de cuisson le poisson préalablement trempé à l'eau chaude.  
	Etape 4 : Dans une marmite, incorporez les épinards ou le waterleaf. Après 10 minutes ou que l'eau ait séché, rajoutez le Eru et laissez le mélange mijoter. Remuez de temps en temps
	Etape 5 : Ajoutez ecrevisses et bifaga, remuez le mélange et laissez mijoter pendant 5 minutes.
	Etape 6 : Incorporez par la suite de l’huile de palme, remuez et laissez mijoter pendant 15 minutes
	Etape 7 : Ajoutez enfin vos restes d'écrevisses et laissez mijoter pendant 5 à 10 minutes
	Pour réaliser le waterfufu
	Etape 1 : Ajoutez quelques verres d’eau au waterfufu et mélangez  à l’aide de votre main
	Etape 2 : Dans une casserole, incorporez de l’eau et portez à ébullition
	Etape 3 : Versez une bonne partie de l’eau dans un autre récipient et ne garder que quelques centilitres d’eau dans la marmite
	Ps : Le waterfufu se cuit avec peu d’eau pour ceux qui ne peuvent determiner quantitéd'eau pour melanger le waterfufu. S’il y en a beaucoup, il aura la texture d’une bouillie
	Etape 4 : Ajoutez progressivement le mélange et remuez énergiquement jusqu’à la cuisson. Ajoutez de l’eau si nécessaire"
Haricots rouges et maïs," 
	]INGRÉDIENTS :
* 1 boîte de maïs Bonduelle
* 1 boîte de Touche de Haricots Rouges Bonduelle
* 1 tomate
* 1 concombre
* 1 oignon rouge
* coriandre
* Huile d'olive
* moutarde
* vinaigre rouge
* Sel et poivre

		Étape 1 :
	Égouttez soigneusement les boîtes de maïs et de haricots rouges. Éliminez l'excédent d'humidité des légumes avec un torchon propre ou un papier absorbant.
		Étape 2
	Lavez la tomate et coupez-la en dés.
		Étape 3
	Épluchez et épépinez le concombre puis coupez-le également en dés.
		Étape 4
	Préparez votre vinaigrette en fouettant la moutarde avec une cuillère à soupe de vinaigre. Ajoutez l'huile d'olive, salez et poivrez.
		Étape 5 
	Dans un grand saladier, versez tous les légumes et mélangez bien. Ajoutez la vinaigrette et mélangez de nouveau.
    		Étape 6
    	Parsemez de coriandre ciselée et servez cette recette de salade très facile bien fraîche.

	Mes astuces dégustations
	Cette salade facile à préparer est particulièrement croquante et parfumée grâce à la présence de la coriandre. Vous pouvez tout à fait l'enrichir en saveurs et en couleurs en ajoutant des dés de courgettes, des tranches d'avocat ou du poivron rouge, des légumes qui se marient très bien avec les haricots rouges. Cette salade simple peut également être rehaussée d'autres herbes aromatiques comme le basilic effeuillé. N'hésitez pas aussi à compléter de cerneaux de noix pour ajouter du croquant. Quant à la classique vinaigrette, n'hésitez pas à l'adoucir avec un peu de miel ou à lui donner un peu de pep's avec un filet de citron."
Soupe de gombo,"
Ingrédients

    1kg de viande (j'ai pris du jarret de veau)
    250g de crevettes décortiqué
    750g de gombo
    1 morceau de yett
    1 morceau de guedj
    1 poisson fumé
    25cl d'huile de palme
    1 diakhato (aubergine africaine)
    1 piment frais

	* Le nokoss

    1 oignon
    1 piment végétarien
    4 gousses d'ail
    1 tige l'oignon vert (facultatif)
    Accompagnement: riz blanc

Instructions

1.Couper la viande en morceaux de taille moyenne

2.Dans une marmite, mettre la viande et 1,5l d'eau. Saler, couvrir et laisser cuire à feu moyen pendant 45 minutes

3.Pendant de ce temps, enlever l'extrémité des gombos et les couper puis les piler/mixer légèrement.

4.Préparer le nokoss (assaisonnement) en pilant/mixant : l'oignon, l'ail, le piment vert, l'oignon vert, le nététou

5.Ajouter l'aubergine africaine, le yett, le guedj et le poisson fumé.

6.Ajouter ensuite le gombos.

7.Laisser cuire pendant 30 minutes

8.Ajouter le nokoss, les crevettes et le piment frais. Poivrer légèrement

9.Incorporer l'huile de palme et laisse mijoter pendant 15 minutes

10.L'huile doit remonter à la surface.

11.Goûter l'assaisonnement et rectifier si nécessaire.

12.Servir avec du riz blanc."
Brochette de bœuf et manioc,"

Ingrédients

	4 pavés de bœuf Charal
	80 g de sauce curry
	2 manioc
	1 c. à s. d’aneth
	1 c. à c. de gingembre en poudre
	1 c. à c. de cumin en poudre
	1 c. à s. de coriandre en grain

Réalisation

    Épluchez et lavez le manioc puis le taillez en cubes.
    Faites de même pour la viande.
    Mixez au robot la coriandre et l’aneth puis mélangez ensemble les épices séchées.
    Assaisonnez les cubes de viande de cette préparation.
    Dans une eau frémissante, faites cuire les cubes de manioc avec 1 cuillère à soupe du mélange d’épices, une dizaine de minutes (ils doivent rester légèrement fermes) puis égouttez.
    Montez les brochettes en alternant viande et manioc.
    Faites cuire dans une poêle 3 minutes.
    Servez avec de la sauce curry Charal.

"
soupe de pomme de terre,"Ingrédients

Pour 4 personnes

    600 g de pommes de terre à potage
    2 blancs de poireaux
    20 g de beurre
    Sel fin
    75 cl de bouillon de volaille
    20 cl de lait
    Poivre du moulin
    15 cl de crème fleurette
    Quelques pluches de cerfeuil


Préparation de la recette

Lavez, brossez et épluchez les pommes de terre. Coupez-les en deux dans le sens de la longueur. Recoupez chaque moitié en tranches. Lavez les blancs de poireaux. Coupez-les en deux dans le sens de la longueur. Coupez chaque moitié de poireau en rondelles assez fines. Dans une casserole large et profonde, faites « suer » (fondre) les poireaux sans coloration dans le beurre. Ajoutez un peu de sel. Quand les poireaux sont moelleux, versez le bouillon de volaille et le lait. Ajoutez les morceaux de pomme de terre, du sel et du poivre. Portez à ébullition puis laissez cuire 25 min. À la fin de la cuisson, versez la crème en remuant. Versez dans le bol d’un blender (ou, à défaut, utilisez un mixeur plongeant). Mixez pour obtenir une texture très fine. Passez le velouté dans une passoire fine. Réchauffez-le au dernier moment. Versez dans des bols et parsemez de pluches de cerfeuil.

Temps de préparation total : 45 min
."
Riz sauce tomate,"Ingrédients

    Des tomates cerises découpées finement en dés
    2 oignons blancs coupé en dés
    2 feuilles de laurier
    Du pèbè écrasé en pâte
    6 gousses d`ail haché finement
    1 cuillère à café de gingembre frais râpé
    3 cuillères à soupe de basilic frais coupé finement
    condiment vert coupé finement
    5 graines de djansan
    1 poireau haché finement
    1 tasse à café d`huile Mayor
    Du sel
    600g de viande de bœuf

Préparation

	Dans une marmite profonde faite cuire votre viande avec 1 oignon  découpé et 2 feuilles de laurier.

	Dans une marmite, faites chauffer l’huile Mayor  et mettez vos oignons laissez les caraméliser.

	 Ajouter la viande préalablement cuite.

	Ajouter votre tomate découpée et laisser griller pour 10 minutes à feu moyen en remuant avec une spatule.

	Ajouter tous vos condiments mais réserver 1 cuillère de basilic frais pour la fin.

	Laisser cuire au point de voir l`huile remonter en surface en évitant de brûler.

	Ajouter progressivement de l`eau si votre mélange est trop lourd. Faites cuire a feu doux en remuant avec une spatule en bois.

	Lorsque votre mélange a perdu le gout acide, saler, poivrer et verser la dernière cuillère de basilic.

	Ajouter un peu d`eau dépendant de la consistance que vous préférez. Si votre sauce est acide, ne paniquez pas généralement cela se corrige en faisant cuire a feu doux plus longtemps. Ou encore en ajoutant un petit morceau de sucre.

	Servez avec du riz blanc.
"
